Year,Series,Body Mass Index,Age,Sex,Value
2014,1. Obesity rate by body mass index,Pre-obese,,,35
2014,1. Obesity rate by body mass index,Obese,,,26
2014,1. Obesity rate by body mass index,Overweight,,,61
2017,1. Obesity rate by body mass index,Pre-obese,,,36.5
2017,1. Obesity rate by body mass index,Obese,,,25.7
2017,1. Obesity rate by body mass index,Overweight,,,62.2
2019,1. Obesity rate by body mass index,Pre-obese,,,36.1
2019,1. Obesity rate by body mass index,Obese,,,28.7
2019,1. Obesity rate by body mass index,Overweight,,,64.8
2022,1. Obesity rate by body mass index,Pre-obese,,,36.3
2022,1. Obesity rate by body mass index,Obese,,,26.1
2022,1. Obesity rate by body mass index,Overweight,,,62.5
2014,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,13-year-olds,Male,36
2014,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,15-year-olds,Male,34
2014,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,13-year-olds,Female,33
2014,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,15-year-olds,Female,26
2018,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,11-year-olds,Male,44
2018,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,13-year-olds,Male,38
2018,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,15-year-olds,Male,41
2018,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,11-year-olds,Female,34
2018,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,13-year-olds,Female,35
2018,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,15-year-olds,Female,30
2022,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,11-year-olds,Male,41
2022,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,13-year-olds,Male,36
2022,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,15-year-olds,Male,31
2022,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,11-year-olds,Female,34
2022,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,13-year-olds,Female,29
2022,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",,15-year-olds,Female,32
