Year,Series,Speed,Units,Value
2010,Fixed broadband subscriptions per 100 inhabitants,10 Mbps and over,Per 100 population,3.37
2011,Fixed broadband subscriptions per 100 inhabitants,10 Mbps and over,Per 100 population,7.5
2012,Fixed broadband subscriptions per 100 inhabitants,10 Mbps and over,Per 100 population,24.72
2013,Fixed broadband subscriptions per 100 inhabitants,10 Mbps and over,Per 100 population,28.96
2014,Fixed broadband subscriptions per 100 inhabitants,10 Mbps and over,Per 100 population,32.65
2015,Fixed broadband subscriptions per 100 inhabitants,10 Mbps and over,Per 100 population,36.06
2016,Fixed broadband subscriptions per 100 inhabitants,10 Mbps and over,Per 100 population,37.35
2017,Fixed broadband subscriptions per 100 inhabitants,10 Mbps and over,Per 100 population,38.57
2018,Fixed broadband subscriptions per 100 inhabitants,10 Mbps and over,Per 100 population,39.48
2019,Fixed broadband subscriptions per 100 inhabitants,10 Mbps and over,Per 100 population,40.1
2020,Fixed broadband subscriptions per 100 inhabitants,10 Mbps and over,Per 100 population,41.04
2021,Fixed broadband subscriptions per 100 inhabitants,10 Mbps and over,Per 100 population,42.13
2022,Fixed broadband subscriptions per 100 inhabitants,10 Mbps and over,Per 100 population,43.4
2023,Fixed broadband subscriptions per 100 inhabitants,10 Mbps and over,Per 100 population,44.24
2024,Fixed broadband subscriptions per 100 inhabitants,10 Mbps and over,Per 100 population,44.47
2010,Fixed broadband subscriptions per 100 inhabitants,Between 256 Kbps and 2 Mbps,Per 100 population,0.16
2011,Fixed broadband subscriptions per 100 inhabitants,Between 256 Kbps and 2 Mbps,Per 100 population,0.08
2012,Fixed broadband subscriptions per 100 inhabitants,Between 256 Kbps and 2 Mbps,Per 100 population,0.06
2013,Fixed broadband subscriptions per 100 inhabitants,Between 256 Kbps and 2 Mbps,Per 100 population,0.0
2014,Fixed broadband subscriptions per 100 inhabitants,Between 256 Kbps and 2 Mbps,Per 100 population,0.0
2015,Fixed broadband subscriptions per 100 inhabitants,Between 256 Kbps and 2 Mbps,Per 100 population,0.0
2016,Fixed broadband subscriptions per 100 inhabitants,Between 256 Kbps and 2 Mbps,Per 100 population,0.0
2017,Fixed broadband subscriptions per 100 inhabitants,Between 256 Kbps and 2 Mbps,Per 100 population,0.0
2018,Fixed broadband subscriptions per 100 inhabitants,Between 256 Kbps and 2 Mbps,Per 100 population,0.0
2019,Fixed broadband subscriptions per 100 inhabitants,Between 256 Kbps and 2 Mbps,Per 100 population,0.0
2020,Fixed broadband subscriptions per 100 inhabitants,Between 256 Kbps and 2 Mbps,Per 100 population,0.0
2021,Fixed broadband subscriptions per 100 inhabitants,Between 256 Kbps and 2 Mbps,Per 100 population,0.0
2022,Fixed broadband subscriptions per 100 inhabitants,Between 256 Kbps and 2 Mbps,Per 100 population,0.0
2023,Fixed broadband subscriptions per 100 inhabitants,Between 256 Kbps and 2 Mbps,Per 100 population,0.0
2024,Fixed broadband subscriptions per 100 inhabitants,Between 256 Kbps and 2 Mbps,Per 100 population,0.0
2010,Fixed broadband subscriptions per 100 inhabitants,Between 2 Mbps and 10 Mbps,Per 100 population,25.15
2011,Fixed broadband subscriptions per 100 inhabitants,Between 2 Mbps and 10 Mbps,Per 100 population,22.67
2012,Fixed broadband subscriptions per 100 inhabitants,Between 2 Mbps and 10 Mbps,Per 100 population,7.03
2013,Fixed broadband subscriptions per 100 inhabitants,Between 2 Mbps and 10 Mbps,Per 100 population,4.42
2014,Fixed broadband subscriptions per 100 inhabitants,Between 2 Mbps and 10 Mbps,Per 100 population,2.23
2015,Fixed broadband subscriptions per 100 inhabitants,Between 2 Mbps and 10 Mbps,Per 100 population,0.61
2016,Fixed broadband subscriptions per 100 inhabitants,Between 2 Mbps and 10 Mbps,Per 100 population,0.27
2017,Fixed broadband subscriptions per 100 inhabitants,Between 2 Mbps and 10 Mbps,Per 100 population,0.18
2018,Fixed broadband subscriptions per 100 inhabitants,Between 2 Mbps and 10 Mbps,Per 100 population,0.11
2019,Fixed broadband subscriptions per 100 inhabitants,Between 2 Mbps and 10 Mbps,Per 100 population,0.08
2020,Fixed broadband subscriptions per 100 inhabitants,Between 2 Mbps and 10 Mbps,Per 100 population,0.07
2021,Fixed broadband subscriptions per 100 inhabitants,Between 2 Mbps and 10 Mbps,Per 100 population,0.05
2022,Fixed broadband subscriptions per 100 inhabitants,Between 2 Mbps and 10 Mbps,Per 100 population,0.05
2023,Fixed broadband subscriptions per 100 inhabitants,Between 2 Mbps and 10 Mbps,Per 100 population,0.04
2024,Fixed broadband subscriptions per 100 inhabitants,Between 2 Mbps and 10 Mbps,Per 100 population,0.04
2010,Fixed broadband subscriptions per 100 inhabitants,Total,Per 100 population,29.79
2011,Fixed broadband subscriptions per 100 inhabitants,Total,Per 100 population,30.3
2012,Fixed broadband subscriptions per 100 inhabitants,Total,Per 100 population,31.82
2013,Fixed broadband subscriptions per 100 inhabitants,Total,Per 100 population,33.38
2014,Fixed broadband subscriptions per 100 inhabitants,Total,Per 100 population,34.88
2015,Fixed broadband subscriptions per 100 inhabitants,Total,Per 100 population,36.68
2016,Fixed broadband subscriptions per 100 inhabitants,Total,Per 100 population,37.62
2017,Fixed broadband subscriptions per 100 inhabitants,Total,Per 100 population,38.75
2018,Fixed broadband subscriptions per 100 inhabitants,Total,Per 100 population,39.59
2019,Fixed broadband subscriptions per 100 inhabitants,Total,Per 100 population,40.18
2020,Fixed broadband subscriptions per 100 inhabitants,Total,Per 100 population,41.11
2021,Fixed broadband subscriptions per 100 inhabitants,Total,Per 100 population,42.18
2022,Fixed broadband subscriptions per 100 inhabitants,Total,Per 100 population,43.44
2023,Fixed broadband subscriptions per 100 inhabitants,Total,Per 100 population,44.28
2024,Fixed broadband subscriptions per 100 inhabitants,Total,Per 100 population,44.51
2010,Number of fixed broadband subscriptions,10 Mbps and over,Number of subscriptions,14252.0
2011,Number of fixed broadband subscriptions,10 Mbps and over,Number of subscriptions,31839.0
2012,Number of fixed broadband subscriptions,10 Mbps and over,Number of subscriptions,105472.0
2013,Number of fixed broadband subscriptions,10 Mbps and over,Number of subscriptions,124060.0
2014,Number of fixed broadband subscriptions,10 Mbps and over,Number of subscriptions,141864.0
2015,Number of fixed broadband subscriptions,10 Mbps and over,Number of subscriptions,160474.0
2016,Number of fixed broadband subscriptions,10 Mbps and over,Number of subscriptions,170024.0
2017,Number of fixed broadband subscriptions,10 Mbps and over,Number of subscriptions,180461.0
2018,Number of fixed broadband subscriptions,10 Mbps and over,Number of subscriptions,191310.0
2019,Number of fixed broadband subscriptions,10 Mbps and over,Number of subscriptions,202104.0
2020,Number of fixed broadband subscriptions,10 Mbps and over,Number of subscriptions,212671.0
2021,Number of fixed broadband subscriptions,10 Mbps and over,Number of subscriptions,220932.0
2022,Number of fixed broadband subscriptions,10 Mbps and over,Number of subscriptions,229221.0
2023,Number of fixed broadband subscriptions,10 Mbps and over,Number of subscriptions,235789.0
2024,Number of fixed broadband subscriptions,10 Mbps and over,Number of subscriptions,239966.0
2010,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,689.0
2011,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,349.0
2012,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,262.0
2013,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,1.0
2014,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,0.0
2015,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,0.0
2016,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,0.0
2017,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,0.0
2018,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,0.0
2019,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,0.0
2020,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,0.0
2021,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,0.0
2022,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,0.0
2023,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,0.0
2024,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,0.0
2010,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,106288.0
2011,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,96246.0
2012,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,30003.0
2013,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,18922.0
2014,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,9679.0
2015,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,2731.0
2016,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,1239.0
2017,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,857.0
2018,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,523.0
2019,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,409.0
2020,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,361.0
2021,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,266.0
